,Title,Year,Category,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
0,Intolerance: Love's Struggle Throughout the Ages ,1916.0,Drama|History|War,,USA,Not Rated,123.0,1.33,385907.0,,D.W. Griffith,Lillian Gish,Mae Marsh,Walter Long,204.0,436.0,22.0,9.0,481,691,1.0,10718,88.0,69.0,8.0
1,Over the Hill to the Poorhouse ,1920.0,Crime|Drama,,USA,,110.0,1.33,100000.0,3000000.0,Harry F. Millarde,Stephen Carr,Johnnie Walker,Mary Carr,0.0,2.0,2.0,0.0,4,0,1.0,5,1.0,1.0,4.8
2,The Big Parade ,1925.0,Drama|Romance|War,,USA,Not Rated,151.0,1.33,245000.0,,King Vidor,John Gilbert,Renée Adorée,Claire Adams,54.0,81.0,12.0,6.0,108,226,0.0,4849,45.0,48.0,8.3
3,Metropolis ,1927.0,Drama|Sci-Fi,German,Germany,Not Rated,145.0,1.33,6000000.0,26435.0,Fritz Lang,Brigitte Helm,Gustav Fröhlich,Rudolf Klein-Rogge,756.0,136.0,23.0,18.0,203,12000,1.0,111841,413.0,260.0,8.3
4,Pandora's Box ,1929.0,Crime|Drama|Romance,German,Germany,Not Rated,110.0,1.33,,9950.0,Georg Wilhelm Pabst,Louise Brooks,Francis Lederer,Fritz Kortner,21.0,426.0,20.0,3.0,455,926,1.0,7431,84.0,71.0,8.0
5,The Broadway Melody ,1929.0,Musical|Romance,English,USA,Passed,100.0,1.37,379000.0,2808000.0,Harry Beaumont,Anita Page,Bessie Love,Charles King,4.0,77.0,28.0,4.0,109,167,8.0,4546,71.0,36.0,6.3
6,Hell's Angels ,1930.0,Drama|War,English,USA,Passed,96.0,1.2,3950000.0,,Howard Hughes,Jean Harlow,Marian Marsh,James Hall,177.0,431.0,12.0,4.0,457,279,1.0,3753,53.0,35.0,7.8
7,A Farewell to Arms ,1932.0,Drama|Romance|War,English,USA,Unrated,79.0,1.37,800000.0,,Frank Borzage,Gary Cooper,Helen Hayes,Adolphe Menjou,57.0,998.0,164.0,99.0,1284,213,1.0,3519,46.0,42.0,6.6
8,42nd Street ,1933.0,Comedy|Musical|Romance,English,USA,Unrated,89.0,1.37,439000.0,2300000.0,Lloyd Bacon,Ginger Rogers,Dick Powell,George Brent,24.0,610.0,105.0,45.0,995,439,2.0,7921,97.0,65.0,7.7
9,She Done Him Wrong ,1933.0,Comedy|Drama|History|Musical|Romance,English,USA,Approved,66.0,1.37,200000.0,,Lowell Sherman,Mae West,Gilbert Roland,Louise Beavers,16.0,418.0,85.0,28.0,583,328,1.0,4152,59.0,35.0,6.5
10,It Happened One Night ,1934.0,Comedy|Romance,English,USA,Unrated,65.0,1.37,325000.0,,Frank Capra,Claudette Colbert,Alan Hale,Walter Connolly,964.0,380.0,114.0,21.0,540,0,1.0,64888,235.0,124.0,8.2
11,Top Hat ,1935.0,Comedy|Musical|Romance,English,USA,Approved,81.0,1.37,609000.0,3000000.0,Mark Sandrich,Ginger Rogers,Edward Everett Horton,Eric Blore,10.0,610.0,172.0,23.0,824,1000,2.0,13269,98.0,66.0,7.8
12,Modern Times ,1936.0,Comedy|Drama|Family,English,USA,G,87.0,1.37,1500000.0,163245.0,Charles Chaplin,Paulette Goddard,Stanley Blystone,Fred Malatesta,0.0,309.0,8.0,8.0,352,0,1.0,143086,211.0,120.0,8.6
13,The Charge of the Light Brigade ,1936.0,Action|Adventure|Romance|War,English,USA,Approved,100.0,1.37,1200000.0,,Michael Curtiz,Errol Flynn,David Niven,Spring Byington,345.0,843.0,490.0,94.0,1621,204,3.0,3418,52.0,24.0,7.1
14,Snow White and the Seven Dwarfs ,1937.0,Animation|Family|Fantasy|Musical,English,USA,Approved,83.0,1.37,2000000.0,184925485.0,William Cottrell,Adriana Caselotti,Billy Gilbert,Lucille La Verne,0.0,82.0,47.0,31.0,229,0,1.0,133348,204.0,145.0,7.7
15,The Prisoner of Zenda ,1937.0,Adventure|Drama|Romance,English,USA,Approved,101.0,1.37,,,John Cromwell,David Niven,Mary Astor,Ronald Colman,19.0,490.0,185.0,135.0,1166,337,2.0,3256,44.0,7.0,7.8
16,Alexander's Ragtime Band ,1938.0,Drama|Musical|Romance,English,USA,Approved,106.0,1.37,2000000.0,,Henry King,Tyrone Power,Don Ameche,John Carradine,85.0,480.0,392.0,300.0,1833,60,2.0,1381,29.0,10.0,7.0
17,You Can't Take It with You ,1938.0,Comedy|Drama|Romance,English,USA,Approved,126.0,1.37,1644736.0,,Frank Capra,Jean Arthur,Ann Miller,Lionel Barrymore,964.0,319.0,302.0,275.0,1363,0,10.0,17799,133.0,51.0,8.0
18,Gone with the Wind ,1939.0,Drama|History|Romance|War,English,USA,G,226.0,1.37,3977000.0,198655278.0,Victor Fleming,Hattie McDaniel,George Reeves,Thomas Mitchell,149.0,503.0,384.0,248.0,1862,16000,1.0,215340,706.0,157.0,8.2
19,Mr. Smith Goes to Washington ,1939.0,Comedy|Drama,English,USA,Not Rated,120.0,1.37,1500000.0,,Frank Capra,Claude Rains,Jean Arthur,Thomas Mitchell,964.0,607.0,319.0,248.0,1573,0,7.0,77392,245.0,96.0,8.2
20,The Wizard of Oz ,1939.0,Adventure|Family|Fantasy|Musical,English,USA,Passed,102.0,1.37,2800000.0,22202612.0,Victor Fleming,Margaret Hamilton,Terry,Billie Burke,149.0,695.0,421.0,357.0,2509,14000,3.0,291875,533.0,213.0,8.1
21,Boom Town ,1940.0,Adventure|Drama|Romance|Western,English,USA,Passed,119.0,1.37,1614000.0,,Jack Conway,Hedy Lamarr,Spencer Tracy,Claudette Colbert,6.0,1000.0,760.0,380.0,2555,236,8.0,2269,34.0,12.0,7.1
22,Fantasia ,1940.0,Animation|Family|Fantasy|Music,English,USA,G,120.0,1.37,2280000.0,76400000.0,James Algar,Leopold Stokowski,Deems Taylor,,11.0,16.0,0.0,,16,3000,0.0,71321,230.0,99.0,7.8
23,Pinocchio ,1940.0,Animation|Family|Fantasy|Musical,English,USA,Approved,88.0,1.37,2600000.0,84300000.0,Norman Ferguson,Mel Blanc,Dickie Jones,Cliff Edwards,3.0,1000.0,48.0,40.0,1178,0,0.0,90360,147.0,105.0,7.5
24,Rebecca ,1940.0,Drama|Film-Noir|Mystery|Thriller,English,USA,Not Rated,130.0,1.37,1288000.0,,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,13000.0,1000.0,991.0,333.0,2888,0,2.0,87424,276.0,144.0,8.2
25,The Blue Bird ,1940.0,Drama|Family|Fantasy,English,USA,Approved,83.0,1.37,,,Walter Lang,Spring Byington,Nigel Bruce,Gale Sondergaard,9.0,94.0,62.0,51.0,293,548,1.0,1047,25.0,7.0,6.5
26,How Green Was My Valley ,1941.0,Drama|Family,English,USA,Approved,118.0,1.37,1250000.0,,John Ford,Roddy McDowall,Walter Pidgeon,Barry Fitzgerald,673.0,595.0,176.0,137.0,1129,0,5.0,15840,124.0,74.0,7.8
27,Bambi ,1942.0,Animation|Drama|Family,English,USA,Approved,70.0,1.33,,102797150.0,James Algar,Sam Edwards,Donnie Dunagan,Ann Gillis,11.0,16.0,12.0,8.0,63,0,0.0,94225,136.0,116.0,7.4
28,Casablanca ,1942.0,Drama|Romance|War,English,USA,PG,82.0,1.37,950000.0,,Michael Curtiz,Humphrey Bogart,Claude Rains,Conrad Veidt,345.0,2000.0,607.0,269.0,3442,23000,4.0,387508,1123.0,242.0,8.6
29,A Guy Named Joe ,1943.0,Drama|Fantasy|Romance|War,English,USA,Passed,122.0,1.37,2627000.0,,Victor Fleming,Spencer Tracy,Esther Williams,Irene Dunne,149.0,760.0,675.0,315.0,2555,116,0.0,1553,27.0,9.0,7.0
30,Bathing Beauty ,1944.0,Comedy|Musical,English,USA,Passed,101.0,1.37,2361000.0,,George Sidney,Esther Williams,Basil Rathbone,Red Skelton,24.0,675.0,659.0,226.0,1627,144,2.0,1079,28.0,8.0,6.5
31,Spellbound ,1945.0,Film-Noir|Mystery|Romance|Thriller,English,USA,Unrated,95.0,1.37,1696377.0,,Alfred Hitchcock,Norman Lloyd,Rhonda Fleming,Leo G. Carroll,13000.0,472.0,239.0,82.0,896,0,1.0,32927,161.0,97.0,7.6
32,State Fair ,1945.0,Musical|Romance,English,USA,Approved,100.0,1.37,,,Walter Lang,Dana Andrews,Jeanne Crain,Frank McHugh,9.0,188.0,135.0,37.0,496,501,2.0,2756,55.0,17.0,7.1
33,The Lost Weekend ,1945.0,Drama|Film-Noir,English,USA,Not Rated,101.0,1.37,1250000.0,,Billy Wilder,Ray Milland,Jane Wyman,Frank Faylen,0.0,287.0,160.0,66.0,581,0,4.0,24959,136.0,97.0,8.0
34,The Valley of Decision ,1945.0,Drama,English,USA,Passed,119.0,1.37,2160000.0,,Tay Garnett,Jessica Tandy,Greer Garson,Lionel Barrymore,10.0,509.0,284.0,275.0,1490,68,0.0,1314,29.0,7.0,7.5
35,Duel in the Sun ,1946.0,Drama|Romance|Western,English,USA,Unrated,144.0,1.37,8000000.0,20400000.0,King Vidor,Joseph Cotten,Lillian Gish,Jennifer Jones,54.0,469.0,436.0,332.0,2037,403,0.0,6304,87.0,32.0,6.9
36,It's a Wonderful Life ,1946.0,Drama|Family|Fantasy|Romance,English,USA,PG,118.0,1.37,3180000.0,,Frank Capra,Donna Reed,Lionel Barrymore,Thomas Mitchell,964.0,488.0,275.0,248.0,1844,41000,0.0,275720,706.0,206.0,8.6
37,The Best Years of Our Lives ,1946.0,Drama|Romance|War,English,USA,Not Rated,172.0,1.37,2100000.0,23650000.0,William Wyler,Myrna Loy,Teresa Wright,Dana Andrews,355.0,749.0,208.0,188.0,1941,0,5.0,40359,235.0,97.0,8.1
38,Gentleman's Agreement ,1947.0,Drama|Romance,English,USA,Approved,118.0,1.37,2000000.0,,Elia Kazan,Dean Stockwell,Celeste Holm,John Garfield,603.0,936.0,297.0,167.0,1846,0,3.0,10791,113.0,61.0,7.4
39,The Lady from Shanghai ,1947.0,Crime|Drama|Film-Noir|Mystery|Thriller,English,USA,Not Rated,92.0,1.37,2300000.0,7927.0,Orson Welles,Rita Hayworth,Everett Sloane,Ted de Corsia,0.0,1000.0,29.0,18.0,1055,0,1.0,19236,175.0,90.0,7.7
40,Tycoon ,1947.0,Adventure|Drama|Romance,English,USA,Approved,95.0,1.37,3209000.0,,Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,5.0,197.0,116.0,100.0,538,44,1.0,989,23.0,9.0,6.2
41,Open Secret ,1948.0,Crime|Drama,English,USA,Approved,68.0,1.37,,,John Reinhardt,Sheldon Leonard,John Ireland,Arthur O'Connell,2.0,142.0,86.0,75.0,354,10,3.0,67,9.0,1.0,7.1
