Company Name,Skills,Published Date
Larsen&ToubroInfotechLtd,"python,bi,sql,visualstudio,database,ssrs",Posted few days ago
SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Posted few days ago
3RITechnologiesPvtLtd,"algorithms,python,django,datastructures,mysql,sql",Posted few days ago
INFOWIZSoftwareSolutions,"python,django,git,html5,debugging,svn,javascript",Posted few days ago
Larsen&ToubroInfotechLtd,"linearregression,factoranalysis,textmining,logisticregression,statisticalanalysis",Posted few days ago
GEMINISOFTWARESOLUTIONS,"python,mobile,svn,nosql,pythonscripting,git,sqldatabase",Posted few days ago
GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",Posted few days ago
AngelandGenie,"python,security,debugging,opencv",Posted few days ago
LAKSHHUMANRESOURCE,"rest,python,django,git",Posted few days ago
SATRAInfrastructureManagement,"algorithms,python,debugging",Posted few days ago
FresherMart,"python,django,DjangoFramework",Posted few days ago
PleasantInc,"python,technologymanagement,bpm",Posted few days ago
PleasantInc,"python,technologymanagement,bpm",Posted few days ago
MUVI.com,"algorithms,python,machinelearning",Posted few days ago
DatagridSolutions,"python,database,django,mysql,api",Posted few days ago
VisionpixTechnologiesLLP,"python,oops,technicalskills,",Posted few days ago
Larsen&ToubroInfotechLtd,"python,bi,sql,visualstudio,database,ssrs",Posted few days ago
SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Posted few days ago
3RITechnologiesPvtLtd,"algorithms,python,django,datastructures,mysql,sql",Posted few days ago
INFOWIZSoftwareSolutions,"python,django,git,html5,debugging,svn,javascript",Posted few days ago
Larsen&ToubroInfotechLtd,"linearregression,factoranalysis,textmining,logisticregression,statisticalanalysis",Posted few days ago
GEMINISOFTWARESOLUTIONS,"python,mobile,svn,nosql,pythonscripting,git,sqldatabase",Posted few days ago
GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",Posted few days ago
AngelandGenie,"python,security,debugging,opencv",Posted few days ago
LAKSHHUMANRESOURCE,"rest,python,django,git",Posted few days ago
SATRAInfrastructureManagement,"algorithms,python,debugging",Posted few days ago
FresherMart,"python,django,DjangoFramework",Posted few days ago
PleasantInc,"python,technologymanagement,bpm",Posted few days ago
PleasantInc,"python,technologymanagement,bpm",Posted few days ago
MUVI.com,"algorithms,python,machinelearning",Posted few days ago
DatagridSolutions,"python,database,django,mysql,api",Posted few days ago
VisionpixTechnologiesLLP,"python,oops,technicalskills,",Posted few days ago
Larsen&ToubroInfotechLtd,"python,bi,sql,visualstudio,database,ssrs",Posted few days ago
SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Posted few days ago
3RITechnologiesPvtLtd,"algorithms,python,django,datastructures,mysql,sql",Posted few days ago
